Order ID,Order Date,Customer Name,Region,Product Category,Product Name,Unit Price,Quantity,Total Price,Payment Method,Delivery Status
73b24f8c-824e-49be-a28a-83fff4c127fe,2023-01-01,Adam Phillips,East,Drinks,Pepsi,11.8,3,35.4,Credit Card,Delivered
15d356a9-7f44-4a48-944e-23c0499efd6e,2023-01-01,Denise Perry,West,Burger,Beef Burger,9.77,4,39.08,Cash,Pending
86b4bb1f-b6eb-46c8-a991-cd03dd67de54,2023-01-01,Toni Adams,West,Pizza,Margherita,19.76,4,79.04,Bank Transfer,Cancelled
ded861a8-c13c-4620-bca7-631bc9936dbf,2023-01-01,Harold Jensen,West,Dessert,Muffin,2.7,4,10.8,Online Wallet,Cancelled
fe0d6b91-cb71-40d9-8dc7-ff544b767a0c,2023-01-01,Kim Moore,North,Drinks,Pepsi,8.1,5,40.5,Cash,Cancelled
b58bcdf9-8115-474f-8e40-7ff075534720,2023-01-01,Jessica Klein,North,Burger,Veggie Burger,9.48,3,28.44,Credit Card,Pending
cef362f6-d943-4b19-b8f1-fc92dad169ab,2023-01-01,Jonathan Clark,South,Pizza,Pepperoni,19.24,5,96.2,Credit Card,Pending
52a597db-a695-4135-a23f-53248f38b417,2023-01-01,Brandon Fitzpatrick,West,Dessert,Cheesecake,15.95,5,79.75,Online Wallet,Cancelled
a0cb62c9-a82f-40ff-87db-e195170be992,2023-01-01,Jennifer White,North,Dessert,Brownie,2.32,3,6.96,Credit Card,Cancelled
b4824fa0-0d58-4396-9f0d-d0ff47a7a790,2023-01-01,Frank Pruitt,East,Dessert,Brownie,16.75,5,83.75,Bank Transfer,Pending
d8afa26e-08bb-49ad-8e0c-fb7810a17acd,2023-01-01,Jennifer Brooks,North,Drinks,Pepsi,8.38,5,41.9,Online Wallet,Delivered
b03a6928-0dd6-478e-8118-5479677f3bd1,2023-01-01,Elizabeth Harris,South,Dessert,Ice Cream,19.15,1,19.15,Online Wallet,Cancelled
1df489e2-c75b-4923-9920-aeebd41e1b10,2023-01-01,Marie Saunders,North,Drinks,Coke,4.98,2,9.96,Credit Card,Pending
041a1058-4148-469b-af57-98ab2ff432d4,2023-01-01,Terri King,West,Burger,Chicken Burger,19.0,4,76.0,Bank Transfer,Delivered
d983de28-beb7-4bf5-b4f5-4a3f28b4be85,2023-01-01,Stephen Weaver,East,Drinks,Lemonade,19.21,4,76.84,Bank Transfer,Delivered
